date,adj_close,close,high,low,open,volume,daily_return,weekly_return,ma_7,ma_21,ma_cross,dist_from_ma21,daily_range,rsi_14,macd,macd_signal,macd_hist,bb_position,volatility_7,volatility_20,volume_change,volume_ma20,volume_ratio,lag_return_1,lag_return_3,lag_return_5,month,quarter,season_num,season,is_earnings_week,vix,is_major_event,target_direction,target_return
2015-02-03,14.557332992553711,14.557332992553711,14.691332817077637,14.084667205810547,14.214667320251465,72393000,0.0351758385028933,0.06010287070407294,13.809523854936872,13.571745917910622,0.23777793702624983,0.07262050738382969,0.04167422779827927,59.497646562461256,-0.1172737530691581,-0.2909780556243811,0.173704302555223,1.0237062653029496,0.026351225457931067,0.02359184357437427,0.16316398341849037,66785700.0,1.083959590151784,0.0360511389604945,0.02924214605280495,-0.0027596300325537504,2,1,0,Winter,0,17.329999923706055,0,1,-0.009479726449722788
2015-02-04,14.569999694824219,14.569999694824219,14.76533317565918,14.453332901000977,14.552666664123535,49581000,0.0008701251992371262,0.09620302773062694,13.923809460231237,13.59860306694394,0.3252063932872957,0.07143355998393613,0.021413883403788726,59.641964060073065,-0.04316796201359807,-0.24141603690222452,0.19824807488862645,0.9805695823995009,0.025816652466047196,0.023579129063559457,-0.31511333968753885,64568325.0,0.7678842528437899,0.0351758385028933,-0.007797333058199185,-0.03209052877530916,2,1,0,Winter,0,18.329999923706055,0,1,-0.026309695300722254
2015-02-05,14.732666969299316,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717773,52843500,0.011164535201252157,0.0769493158362915,14.06676183428083,13.62942850022089,0.43733333405994124,0.08094532129946219,0.02642649644579498,61.537356612255564,0.028360380076533076,-0.187460753506473,0.2158211335830061,0.9953508065895571,0.025347043629475992,0.02365072795108249,0.06580141586494825,64984200.0,0.8131745870534683,0.0008701251992371262,0.0360511389604945,0.02924214605280495,2,1,0,Winter,0,16.850000381469727,0,0,-0.08194942350045678
2015-02-06,14.490667343139648,14.490667343139648,14.893333435058594,14.433333396911621,14.800000190734863,48658500,-0.016426056915829212,0.06758358989679447,14.2380952835083,13.649777775719052,0.5883175077892489,0.061604634246604034,0.03174457236883239,57.231095180840974,0.06477309523895336,-0.13701398375738774,0.2017870789963411,0.8628841664510812,0.021349466045554943,0.024018900650796662,-0.0791961168355616,64835250.0,0.7504945226554999,0.011164535201252157,0.0351758385028933,-0.007797333058199185,2,1,0,Winter,0,17.290000915527344,0,1,-0.06252300987076564
2015-02-09,14.498666763305664,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657227,52086000,0.0005520394593698796,0.031004067266725555,14.355047634669713,13.671555564517067,0.6834920701526457,0.06049868977128452,0.027312915634685207,57.33737178245426,0.09320155123142726,-0.09097087675962474,0.184172427991052,0.8346293501391537,0.020355427800137882,0.023527844635052593,0.07043990258639288,63938325.0,0.814628784848524,-0.016426056915829212,0.0008701251992371262,0.0360511389604945,2,1,0,Winter,0,18.549999237060547,0,0,-0.06037339848558379
2015-02-10,14.419333457946777,14.419333457946777,14.699999809265137,14.333333015441895,14.50333309173584,80857500,-0.005471765552931385,-0.009479726449722836,14.475904873439244,13.702127002534413,0.7737778709048317,0.05234270965958108,0.025428831013070505,55.855012735036006,0.10808384935950599,-0.0511599315357986,0.15924378089530458,0.775307000424356,0.020061718159243846,0.02291911195605108,0.552384517912683,63518475.0,1.272976090814523,0.0005520394593698796,0.011164535201252157,0.0351758385028933,2,1,0,Winter,0,17.229999542236328,0,0,-0.05469508888595968
2015-02-11,14.186667442321777,14.186667442321777,14.315999984741211,13.8186674118042,14.147333145141602,146536500,-0.016135698387415576,-0.026309695300722247,14.493619237627302,13.735746065775553,0.7578731718517489,0.03282831339389387,0.03505633546137589,51.63851871255986,0.09995179280760702,-0.020937586667117477,0.1208893794747245,0.6714259371775596,0.01784022927627541,0.023277092141327668,0.8122808644838142,67487325.0,2.171318836537083,-0.005471765552931385,-0.016426056915829212,0.0008701251992371262,2,1,0,Winter,0,16.959999084472656,0,0,-0.0051222122589852145
2015-02-12,13.525333404541016,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,-0.04661658846022321,-0.08194942350045675,14.34619072505406,13.731396856762114,0.6147938682919456,-0.015006736340856756,0.048353727241061774,41.945712753134124,0.039685480041613985,-0.008812973325371187,0.048498453366985175,0.3987652394218263,0.01878410201829925,0.022020756916139663,0.6019490024669623,70560600.0,3.326842458822629,-0.016135698387415576,0.0005520394593698796,0.011164535201252157,2,1,0,Winter,0,15.34000015258789,0,1,0.07013997690084993
2015-02-13,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000,0.004386864226918918,-0.06252300987076564,14.205428940909249,13.766571499052501,0.43885744185674724,-0.013213478261778855,0.024930085570936716,42.97983105187658,-0.0032507920246764854,-0.007700537065232247,0.004449745040555762,0.4002147768667342,0.01917543424567129,0.021959508013109662,-0.6043988344750025,71291475.0,1.302610164819847,-0.04661658846022321,-0.005471765552931385,-0.016426056915829212,2,1,0,Winter,0,14.6899995803833,0,1,0.017519745789198342
2015-02-17,13.623332977294922,13.623332977294922,13.713333129882812,13.433333396911621,13.713333129882812,59694000,0.0028462803614237586,-0.06037339848558376,14.046952656337194,13.80619053613572,0.2407621202014738,-0.013244606349752636,0.02055295377701241,43.68383995389665,-0.033768826351082026,-0.012914194922402204,-0.020854631428679823,0.39338288084312417,0.017873827798524686,0.02194812966367704,-0.35719592957518975,71573775.0,0.8340205613019573,0.004386864226918918,-0.016135698387415576,0.0005520394593698796,2,1,0,Winter,0,15.800000190734863,0,1,-0.0011744405009415405
