date,open,high,low,close
2025-07-01 05:00:00,16.98,17.48,16.51,16.830000000000002
2025-07-02 05:00:00,16.75,17.37,16.54,16.64
2025-07-03 05:00:00,16.65,16.830000000000002,16.14,16.38
2025-07-04 05:00:00,16.93,17.67,16.92,17.48
2025-07-07 05:00:00,17.830000000000002,18.5,17.51,17.79
2025-07-08 05:00:00,17.41,17.44,16.54,16.81
2025-07-09 05:00:00,16.76,16.76,15.76,15.94
2025-07-10 05:00:00,16.23,16.240000000000002,15.700000000000001,15.780000000000001
2025-07-11 05:00:00,16.41,17.240000000000002,15.98,16.4
2025-07-14 05:00:00,17.73,17.85,16.91,17.2
2025-07-15 05:00:00,16.89,17.39,16.56,17.38
2025-07-16 05:00:00,17.66,19.48,16.69,17.16
2025-07-17 05:00:00,17.16,17.37,16.48,16.52
2025-07-18 05:00:00,16.43,16.81,16.28,16.41
2025-07-21 05:00:00,16.87,16.990000000000002,16.3,16.65
2025-07-22 05:00:00,16.75,17.48,16.43,16.5
2025-07-23 05:00:00,16.23,16.32,15.32,15.370000000000001
2025-07-24 05:00:00,15.39,15.540000000000001,14.950000000000001,15.39
2025-07-25 05:00:00,15.33,15.39,14.92,14.93
2025-07-28 05:00:00,15.15,15.540000000000001,15.0,15.030000000000001
2025-07-29 05:00:00,14.950000000000001,16.12,14.700000000000001,15.98
2025-07-30 05:00:00,15.870000000000001,17.27,15.44,15.48
2025-07-31 05:00:00,14.99,17.17,14.74,16.72
2025-08-01 05:00:00,17.400000000000002,18.26,17.39,18.150000000000002
2025-08-04 05:00:00,19.56,19.580000000000002,17.48,17.52
2025-08-05 05:00:00,17.21,18.94,17.11,17.85
2025-08-06 05:00:00,17.22,17.88,16.56,16.77
2025-08-07 05:00:00,16.41,17.64,15.98,16.57
2025-08-08 05:00:00,16.48,16.52,15.15,15.15
2025-08-11 05:00:00,15.81,16.36,15.52,16.25
2025-08-12 05:00:00,16.09,16.56,14.66,14.73
2025-08-13 05:00:00,14.620000000000001,14.81,14.3,14.49
2025-08-14 05:00:00,14.66,15.39,14.57,14.83
2025-08-15 05:00:00,14.43,15.18,14.4,15.09
