date,open,high,low,close,volume,vwap
2024-11-11 05:00:00,599.81,600.17,597.0,598.76,37586773.0,598.6842
2024-11-12 05:00:00,598.68,599.29,594.37,596.9,43006128.0,597.2307
2024-11-13 05:00:00,597.37,599.23,594.96,597.19,47386040.0,597.4024
2024-11-14 05:00:00,597.32,597.81,592.65,593.35,38799709.0,594.7758
2024-11-15 05:00:00,589.72,590.2,583.86,585.75,75731266.0,587.4576
2024-11-18 05:00:00,586.22,589.49,585.34,588.15,37084081.0,587.7261
2024-11-19 05:00:00,584.71,591.045,584.03,590.3,49402046.0,588.7565
2024-11-20 05:00:00,590.38,590.79,584.63,590.5,50032576.0,588.4416
2024-11-21 05:00:00,593.4,595.12,587.45,593.67,46750285.0,592.3596
2024-11-22 05:00:00,593.66,596.15,593.1525,595.51,38176390.0,594.9555
2024-11-25 05:00:00,599.52,600.86,595.2,597.53,42441393.0,597.7632
2024-11-26 05:00:00,598.8,601.33,598.07,600.65,45620288.0,599.8866
2024-11-27 05:00:00,600.46,600.85,597.28,598.83,34000163.0,599.0471
2024-11-29 05:00:00,599.66,603.35,599.3805,602.55,30177351.0,601.7519
2024-12-02 05:00:00,602.97,604.32,602.47,603.63,31745989.0,603.3919
2024-12-03 05:00:00,603.39,604.16,602.341,603.91,26906629.0,603.5246
2024-12-04 05:00:00,605.63,607.91,604.95,607.66,42730561.0,606.4345
2024-12-05 05:00:00,607.66,608.48,606.305,606.66,28712587.0,607.2653
2024-12-06 05:00:00,607.44,609.07,607.02,607.81,30958549.0,607.7182
2024-12-09 05:00:00,607.69,607.86,604.08,604.68,34739738.0,605.6624
2024-12-10 05:00:00,605.37,605.8,602.13,602.8,37234515.0,603.7741
2024-12-11 05:00:00,605.78,608.435,605.5,607.46,28631073.0,607.1432
2024-12-12 05:00:00,606.58,607.16,604.33,604.33,31523812.0,605.64
2024-12-13 05:00:00,606.4,607.13,602.81,604.21,35851730.0,604.4412
2024-12-16 05:00:00,606.0,607.7795,605.21,606.79,43658879.0,606.7218
